transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status
REAL000085,Downtown Branch,withdrawal,160.0,2026-02-14 15:40:44.099766,CUST2460,success
REAL000086,Downtown Branch,withdrawal,100.0,2026-04-16 02:44:44.099876,CUST9434,success
REAL000087,Downtown Branch,deposit,1194.4,2026-03-26 17:43:44.099983,CUST3551,success
REAL000088,Airport Terminal,withdrawal,100.0,2026-01-31 11:03:44.100064,CUST9915,success
REAL000089,Shopping Mall,withdrawal,100.0,2026-03-04 03:13:44.100191,CUST7988,success
REAL000090,Hospital Complex,withdrawal,20.0,2026-03-01 03:18:44.100299,CUST6287,failed
REAL000091,Shopping Mall,withdrawal,40.0,2026-02-16 11:37:44.100391,CUST8984,success
REAL000092,Shopping Mall,deposit,1982.77,2026-03-01 01:00:44.100492,CUST3560,success
REAL000093,Shopping Mall,withdrawal,300.0,2026-02-18 14:45:44.100577,CUST5820,success
REAL000094,Airport Terminal,deposit,700.77,2026-02-01 02:48:44.100691,CUST7943,success
REAL000095,Airport Terminal,withdrawal,100.0,2026-03-27 23:59:44.100788,CUST2997,success
REAL000096,Airport Terminal,withdrawal,100.0,2026-03-12 02:23:44.100896,CUST6567,success
REAL000097,Hospital Complex,balance_check,0.0,2026-03-17 15:22:44.101004,CUST2120,success
REAL000098,Downtown Branch,withdrawal,300.0,2026-03-17 14:10:44.101078,CUST7028,success
REAL000099,University Campus,withdrawal,300.0,2026-01-21 15:22:44.101189,CUST3891,success
REAL000100,University Campus,balance_check,0.0,2026-03-14 17:38:44.101280,CUST7166,success
REAL000101,University Campus,withdrawal,180.0,2026-04-07 15:48:44.101396,CUST4531,success
REAL000102,Airport Terminal,withdrawal,200.0,2026-04-14 15:18:44.101505,CUST7024,success
REAL000103,Hospital Complex,deposit,956.59,2026-03-10 16:33:44.101627,CUST4417,success
REAL000104,Hospital Complex,withdrawal,100.0,2026-01-22 14:17:44.101707,CUST8112,success
REAL000105,Downtown Branch,withdrawal,100.0,2026-02-27 02:17:44.101802,CUST2625,success
REAL000106,Shopping Mall,withdrawal,500.0,2026-04-13 10:56:44.101901,CUST5971,success
REAL000107,Downtown Branch,withdrawal,120.0,2026-03-26 14:49:44.101996,CUST5380,success
REAL000108,University Campus,balance_check,0.0,2026-03-22 17:24:44.102109,CUST4432,success
REAL000109,Shopping Mall,withdrawal,200.0,2026-02-15 22:34:44.102200,CUST9058,success
REAL000110,Shopping Mall,withdrawal,200.0,2026-03-05 19:45:44.102292,CUST7645,success
REAL000111,Shopping Mall,withdrawal,80.0,2026-03-12 22:23:44.102410,CUST5873,success
REAL000112,Downtown Branch,withdrawal,200.0,2026-01-22 17:19:44.102521,CUST6954,success
REAL000113,University Campus,withdrawal,200.0,2026-02-06 17:20:44.102628,CUST4054,success
REAL000114,University Campus,withdrawal,300.0,2026-01-22 10:00:44.102719,CUST9356,failed
REAL000115,Hospital Complex,withdrawal,200.0,2026-02-23 22:26:44.102828,CUST5242,success
REAL000116,Airport Terminal,deposit,1653.14,2026-03-21 15:56:44.102936,CUST2409,success
REAL000117,Hospital Complex,withdrawal,300.0,2026-03-31 04:09:44.103033,CUST8083,success
REAL000118,Downtown Branch,deposit,1026.12,2026-03-26 15:57:44.103141,CUST4186,success
REAL000119,University Campus,withdrawal,100.0,2026-02-12 16:29:44.103237,CUST7809,success
REAL000120,University Campus,withdrawal,500.0,2026-01-23 02:37:44.103344,CUST9232,success
REAL000121,Airport Terminal,balance_check,0.0,2026-03-25 18:36:44.103471,CUST1341,success
REAL000122,Airport Terminal,withdrawal,200.0,2026-04-13 15:47:44.103571,CUST3969,success
REAL000123,University Campus,withdrawal,200.0,2026-03-04 17:12:44.103699,CUST6490,success
REAL000124,Shopping Mall,withdrawal,200.0,2026-03-10 23:03:44.103834,CUST2333,success
REAL000125,Shopping Mall,withdrawal,100.0,2026-03-28 18:09:44.103948,CUST2762,success
REAL000126,Hospital Complex,withdrawal,100.0,2026-02-16 19:15:44.104040,CUST3120,success
REAL000127,Airport Terminal,withdrawal,140.0,2026-01-20 16:31:44.104152,CUST2252,success
REAL000128,Downtown Branch,withdrawal,300.0,2026-04-07 15:55:44.104260,CUST1329,failed
REAL000129,Hospital Complex,deposit,1491.23,2026-04-07 18:58:44.104368,CUST3421,success
REAL000130,Airport Terminal,withdrawal,200.0,2026-01-27 15:49:44.104469,CUST9238,success
REAL000131,Hospital Complex,withdrawal,160.0,2026-04-02 18:51:44.104598,CUST8686,success
REAL000132,University Campus,balance_check,0.0,2026-02-19 15:51:44.104707,CUST4042,success
REAL000133,Airport Terminal,withdrawal,100.0,2026-04-02 16:00:44.104798,CUST1130,success
REAL000134,Hospital Complex,withdrawal,100.0,2026-02-23 23:51:44.104910,CUST1920,success
REAL000135,Airport Terminal,withdrawal,100.0,2026-04-04 11:29:44.105001,CUST1545,success
REAL000136,University Campus,deposit,1617.69,2026-04-06 15:56:44.105115,CUST3032,pending
REAL000137,Downtown Branch,deposit,1969.76,2026-02-21 18:58:44.105213,CUST9190,success
REAL000138,Airport Terminal,withdrawal,100.0,2026-03-01 17:11:44.105308,CUST5388,success
REAL000139,Shopping Mall,withdrawal,120.0,2026-01-31 04:05:44.105433,CUST2828,success
REAL000140,Hospital Complex,deposit,1894.99,2026-02-09 01:35:44.105542,CUST8878,success
REAL000141,Airport Terminal,withdrawal,200.0,2026-03-31 04:45:44.105629,CUST8274,success
REAL000142,Downtown Branch,withdrawal,20.0,2026-04-17 02:18:44.105743,CUST2913,failed
REAL000143,Shopping Mall,withdrawal,500.0,2026-03-16 02:24:44.105854,CUST5876,success
REAL000144,Shopping Mall,withdrawal,40.0,2026-02-05 19:10:44.105961,CUST2218,success
REAL000145,Airport Terminal,withdrawal,500.0,2026-03-09 01:05:44.106057,CUST8291,success
REAL000146,Hospital Complex,withdrawal,40.0,2026-04-15 02:26:44.106169,CUST9987,success
REAL000147,Airport Terminal,withdrawal,200.0,2026-03-10 15:29:44.106275,CUST7183,success
REAL000148,Downtown Branch,balance_check,0.0,2026-04-14 02:50:44.106383,CUST2704,success
REAL000149,Hospital Complex,withdrawal,200.0,2026-02-26 02:32:44.106473,CUST1556,success
REAL000150,Airport Terminal,withdrawal,300.0,2026-03-19 17:51:44.106571,CUST3403,success
REAL000151,Downtown Branch,withdrawal,40.0,2026-04-07 16:35:44.106682,CUST3064,success
REAL000152,Shopping Mall,balance_check,0.0,2026-02-14 22:50:44.106795,CUST6352,success
REAL000153,University Campus,balance_check,0.0,2026-03-13 21:45:44.106870,CUST2265,success
REAL000154,Airport Terminal,balance_check,0.0,2026-04-07 19:52:44.106945,CUST7353,success
REAL000155,Hospital Complex,balance_check,0.0,2026-03-21 22:02:44.107020,CUST6126,success
REAL000156,Airport Terminal,balance_check,0.0,2026-01-30 15:42:44.107113,CUST4356,success
REAL000157,University Campus,withdrawal,300.0,2026-04-07 09:33:44.107191,CUST2823,success
REAL000158,University Campus,withdrawal,500.0,2026-03-28 18:03:44.107301,CUST1988,success
REAL000159,Downtown Branch,withdrawal,100.0,2026-02-19 20:54:44.107405,CUST1933,failed
REAL000160,University Campus,balance_check,0.0,2026-02-15 02:25:44.107523,CUST3255,success
REAL000161,Airport Terminal,withdrawal,60.0,2026-01-21 02:57:44.107614,CUST7342,success
REAL000162,Downtown Branch,deposit,1271.64,2026-02-26 03:50:44.107721,CUST2875,success
REAL000163,Shopping Mall,withdrawal,100.0,2026-02-19 02:52:44.107821,CUST4788,success
REAL000164,Hospital Complex,withdrawal,200.0,2026-02-14 18:56:44.107934,CUST9920,success
REAL000165,Downtown Branch,balance_check,0.0,2026-03-10 07:06:44.108032,CUST7731,success
REAL000166,Airport Terminal,withdrawal,200.0,2026-01-29 21:20:44.108108,CUST9032,success
REAL000167,Airport Terminal,withdrawal,20.0,2026-02-02 03:44:44.108223,CUST8014,success
REAL000168,Hospital Complex,withdrawal,200.0,2026-04-04 17:40:44.108337,CUST7082,success
REAL000169,Airport Terminal,withdrawal,200.0,2026-04-14 04:05:44.108435,CUST4389,success
REAL000170,Airport Terminal,deposit,1140.43,2026-04-12 22:03:44.108544,CUST1894,success
REAL000171,University Campus,balance_check,0.0,2026-04-05 19:03:44.108652,CUST2560,success
REAL000172,Shopping Mall,withdrawal,80.0,2026-02-23 17:28:44.108726,CUST8979,success
REAL000173,Airport Terminal,transfer,976.05,2026-03-28 17:37:44.108852,CUST9946,success
REAL000174,Airport Terminal,withdrawal,160.0,2026-02-16 03:59:44.109241,CUST1956,success
REAL000175,Downtown Branch,withdrawal,500.0,2026-04-16 07:46:44.109544,CUST5703,success
REAL000176,Shopping Mall,deposit,901.27,2026-02-13 03:59:44.109800,CUST5732,success
REAL000177,University Campus,balance_check,0.0,2026-03-10 17:53:44.109931,CUST7895,success
REAL000178,Downtown Branch,withdrawal,120.0,2026-04-05 18:00:44.110038,CUST3365,success
REAL000179,Downtown Branch,withdrawal,200.0,2026-04-05 22:18:44.110158,CUST9219,success
REAL000180,Shopping Mall,withdrawal,120.0,2026-02-13 17:34:44.110267,CUST4081,success
REAL000181,University Campus,withdrawal,300.0,2026-02-05 02:45:44.110379,CUST6895,success
REAL000182,Hospital Complex,withdrawal,20.0,2026-02-14 17:20:44.110488,CUST4568,success
REAL000183,Airport Terminal,deposit,491.1,2026-03-22 12:27:44.110578,CUST1968,success
REAL000184,Hospital Complex,withdrawal,140.0,2026-03-21 16:13:44.110694,CUST2229,success
REAL000185,Downtown Branch,withdrawal,500.0,2026-01-21 22:15:44.110807,CUST6342,success
REAL000186,University Campus,withdrawal,40.0,2026-03-27 18:30:44.110915,CUST2969,success
REAL000187,Hospital Complex,balance_check,0.0,2026-01-24 18:13:44.111033,CUST2198,success
REAL000188,Downtown Branch,balance_check,0.0,2026-01-19 15:31:44.111163,CUST8705,success
REAL000189,Shopping Mall,deposit,1410.1,2026-02-03 04:47:44.111289,CUST4124,success
REAL000190,Downtown Branch,withdrawal,200.0,2026-02-16 18:46:44.111445,CUST8848,success
REAL000191,Hospital Complex,withdrawal,200.0,2026-02-05 23:21:44.111622,CUST4173,success
REAL000192,Shopping Mall,balance_check,0.0,2026-02-08 17:40:44.111802,CUST2388,success
REAL000193,Hospital Complex,withdrawal,100.0,2026-02-24 13:07:44.112016,CUST3875,success
REAL000194,Airport Terminal,withdrawal,200.0,2026-03-15 18:30:44.112220,CUST3989,success
REAL000195,Hospital Complex,balance_check,0.0,2026-02-06 18:26:44.112437,CUST2177,success
REAL000196,Airport Terminal,withdrawal,160.0,2026-03-03 03:37:44.112577,CUST7570,success
REAL000197,Shopping Mall,withdrawal,500.0,2026-01-30 02:27:44.112733,CUST1140,success
REAL000198,University Campus,withdrawal,200.0,2026-02-11 03:26:44.112894,CUST8311,success
REAL000199,University Campus,transfer,832.02,2026-04-17 17:25:44.113004,CUST8052,success
REAL000200,Downtown Branch,deposit,906.6,2026-03-08 23:32:44.113113,CUST6291,success
REAL000201,Airport Terminal,withdrawal,180.0,2026-04-06 17:19:44.113210,CUST5616,success
REAL000202,Shopping Mall,balance_check,0.0,2026-03-09 03:06:44.113323,CUST2316,success
REAL000203,University Campus,balance_check,0.0,2026-02-18 16:35:44.113416,CUST4040,success
REAL000204,Hospital Complex,deposit,998.49,2026-03-02 02:39:44.113525,CUST1987,success
REAL000205,Shopping Mall,withdrawal,20.0,2026-02-05 18:00:44.113629,CUST5358,success
REAL000206,University Campus,balance_check,0.0,2026-03-11 22:33:44.113739,CUST3349,failed
REAL000207,Downtown Branch,withdrawal,20.0,2026-03-08 16:42:44.113831,CUST8843,success
REAL000208,University Campus,withdrawal,140.0,2026-02-08 23:33:44.113954,CUST3475,success
REAL000209,Airport Terminal,balance_check,0.0,2026-02-06 18:24:44.114070,CUST8426,success
REAL000210,University Campus,withdrawal,500.0,2026-03-07 04:12:44.114162,CUST1661,success
REAL000211,Airport Terminal,balance_check,0.0,2026-02-01 15:45:44.114274,CUST3493,success
REAL000212,Hospital Complex,withdrawal,500.0,2026-04-07 15:57:44.114365,CUST8446,success
REAL000213,Hospital Complex,deposit,1125.92,2026-04-15 02:54:44.114493,CUST5037,success
REAL000214,Hospital Complex,withdrawal,180.0,2026-03-18 16:41:44.114592,CUST4725,success
REAL000215,Shopping Mall,withdrawal,500.0,2026-02-13 02:33:44.114701,CUST6299,success
REAL000216,University Campus,withdrawal,300.0,2026-01-27 15:19:44.114810,CUST9435,success
REAL000217,Airport Terminal,balance_check,0.0,2026-03-08 15:36:44.114929,CUST8629,success
REAL000218,Shopping Mall,balance_check,0.0,2026-04-12 20:22:44.115005,CUST7721,success
REAL000219,Hospital Complex,withdrawal,500.0,2026-02-01 02:54:44.115098,CUST5259,success
REAL000220,Shopping Mall,balance_check,0.0,2026-01-30 03:20:44.115211,CUST2960,success
REAL000221,University Campus,withdrawal,60.0,2026-04-11 23:53:44.115284,CUST8179,failed
REAL000222,Hospital Complex,deposit,627.73,2026-03-20 00:00:44.115381,CUST5349,success
REAL000223,Shopping Mall,withdrawal,80.0,2026-03-19 23:23:44.115482,CUST1689,success
REAL000224,Shopping Mall,withdrawal,60.0,2026-02-05 17:51:44.115594,CUST7406,success
REAL000225,University Campus,transfer,823.27,2026-04-16 04:10:44.115714,CUST4292,success
REAL000226,Shopping Mall,deposit,954.59,2026-02-28 18:37:44.115814,CUST2549,success
REAL000227,Hospital Complex,withdrawal,160.0,2026-04-14 22:19:44.115909,CUST7793,success
REAL000228,Hospital Complex,withdrawal,300.0,2026-04-15 03:13:44.116024,CUST3385,success
REAL000229,Hospital Complex,withdrawal,200.0,2026-01-29 03:39:44.116186,CUST8961,success
REAL000230,Hospital Complex,balance_check,0.0,2026-01-27 15:34:44.116369,CUST4493,success
REAL000231,Airport Terminal,balance_check,0.0,2026-02-14 15:57:44.116504,CUST1571,success
REAL000232,Shopping Mall,withdrawal,200.0,2026-02-20 23:34:44.116597,CUST7869,success
REAL000233,Downtown Branch,withdrawal,60.0,2026-02-18 17:51:44.116734,CUST7230,success
REAL000234,Shopping Mall,balance_check,0.0,2026-01-23 03:31:44.116849,CUST3711,success
REAL000235,Shopping Mall,withdrawal,100.0,2026-02-20 18:43:44.116944,CUST9754,success
REAL000236,Downtown Branch,withdrawal,40.0,2026-04-12 04:04:44.117052,CUST3376,failed
REAL000237,Airport Terminal,withdrawal,300.0,2026-03-02 02:38:44.117160,CUST5285,success
REAL000238,Hospital Complex,withdrawal,500.0,2026-03-30 02:38:44.117251,CUST7303,success
REAL000239,Downtown Branch,withdrawal,500.0,2026-04-09 11:04:44.117345,CUST5583,success
REAL000240,Shopping Mall,deposit,557.32,2026-01-20 22:24:44.117457,CUST1685,success
REAL000241,Airport Terminal,deposit,1708.38,2026-03-18 15:44:44.117556,CUST3196,success
REAL000242,University Campus,balance_check,0.0,2026-04-11 15:28:44.117650,CUST9789,success
REAL000243,Shopping Mall,withdrawal,60.0,2026-03-21 15:01:44.117744,CUST5082,success
REAL000244,Shopping Mall,balance_check,0.0,2026-03-28 23:31:44.117856,CUST9894,success
REAL000245,Airport Terminal,withdrawal,400.0,2026-03-21 02:35:44.117947,CUST8353,success
REAL000246,Airport Terminal,transfer,144.22,2026-04-15 03:11:44.118054,CUST9033,success
REAL000247,Downtown Branch,withdrawal,200.0,2026-03-04 18:35:44.118156,CUST3547,success
REAL000248,Downtown Branch,balance_check,0.0,2026-02-20 15:20:44.118271,CUST4489,success
REAL000249,Hospital Complex,withdrawal,100.0,2026-02-03 16:58:44.118348,CUST1697,success
REAL000250,Hospital Complex,deposit,1226.78,2026-03-30 23:04:44.118479,CUST3023,success
REAL000251,University Campus,withdrawal,120.0,2026-03-05 04:10:44.118576,CUST4292,success
REAL000252,Airport Terminal,withdrawal,200.0,2026-01-30 03:16:44.118683,CUST1593,success
REAL000253,University Campus,withdrawal,60.0,2026-04-01 03:25:44.118794,CUST1541,success
REAL000254,Downtown Branch,withdrawal,140.0,2026-03-19 15:38:44.118885,CUST2169,success
REAL000255,Downtown Branch,balance_check,0.0,2026-03-04 04:03:44.118996,CUST2283,success
REAL000256,Airport Terminal,transfer,759.86,2026-04-05 03:08:44.119086,CUST4471,success
REAL000257,Hospital Complex,withdrawal,200.0,2026-04-09 18:24:44.119183,CUST3757,success
REAL000258,Hospital Complex,deposit,528.53,2026-03-31 23:32:44.119292,CUST3096,success
REAL000259,Downtown Branch,withdrawal,200.0,2026-02-08 15:48:44.119397,CUST3839,success
REAL000260,University Campus,withdrawal,60.0,2026-03-10 06:20:44.119489,CUST7868,success
REAL000261,Airport Terminal,withdrawal,100.0,2026-03-21 03:52:44.119607,CUST3014,success
REAL000262,Airport Terminal,withdrawal,20.0,2026-03-06 17:05:44.119723,CUST1874,success
REAL000263,Shopping Mall,withdrawal,400.0,2026-03-17 18:47:44.119831,CUST2171,success
REAL000264,Downtown Branch,balance_check,0.0,2026-03-29 15:32:44.119938,CUST5260,success
REAL000265,Downtown Branch,balance_check,0.0,2026-02-09 19:11:44.120012,CUST2938,success
REAL000266,Airport Terminal,withdrawal,20.0,2026-04-07 15:17:44.120166,CUST1597,success
REAL000267,Downtown Branch,withdrawal,200.0,2026-02-17 18:40:44.120321,CUST5624,success
REAL000268,Airport Terminal,withdrawal,500.0,2026-02-14 03:04:44.120476,CUST7985,success
REAL000269,Shopping Mall,withdrawal,300.0,2026-03-11 22:52:44.120587,CUST1610,success
REAL000270,University Campus,withdrawal,60.0,2026-02-14 16:42:44.120699,CUST6774,success
REAL000271,Airport Terminal,deposit,553.71,2026-01-23 15:22:44.120808,CUST4867,success
REAL000272,University Campus,withdrawal,500.0,2026-03-26 10:18:44.120898,CUST3274,success
REAL000273,University Campus,withdrawal,300.0,2026-01-20 17:15:44.121008,CUST1007,failed
REAL000274,Airport Terminal,withdrawal,300.0,2026-03-14 16:37:44.121122,CUST7971,success
REAL000275,Downtown Branch,deposit,1821.67,2026-04-12 16:58:44.121291,CUST4200,success
REAL000276,Shopping Mall,withdrawal,140.0,2026-03-18 23:26:44.121401,CUST3591,success
REAL000277,Hospital Complex,withdrawal,500.0,2026-04-03 17:13:44.121511,CUST8329,success
REAL000278,University Campus,withdrawal,200.0,2026-02-19 15:19:44.121619,CUST4864,success
REAL000279,Shopping Mall,deposit,1656.22,2026-02-18 07:46:44.121715,CUST8544,success
REAL000280,Airport Terminal,withdrawal,300.0,2026-02-05 15:53:44.121813,CUST5079,success
REAL000281,Airport Terminal,withdrawal,60.0,2026-01-19 12:41:44.121908,CUST6433,success
REAL000282,Shopping Mall,balance_check,0.0,2026-03-28 22:57:44.122019,CUST9915,success
REAL000283,Downtown Branch,balance_check,0.0,2026-02-13 10:39:44.122099,CUST6779,success
REAL000284,Hospital Complex,balance_check,0.0,2026-01-22 16:11:44.122194,CUST7370,success
REAL000285,Shopping Mall,deposit,1755.29,2026-03-04 15:22:44.122271,CUST2787,success
REAL000286,University Campus,withdrawal,60.0,2026-04-14 02:15:44.122369,CUST5596,success
REAL000287,Airport Terminal,withdrawal,20.0,2026-03-20 23:00:44.122496,CUST2750,success
REAL000288,University Campus,balance_check,0.0,2026-02-27 18:11:44.122605,CUST8230,success
REAL000289,University Campus,withdrawal,100.0,2026-03-31 17:27:44.122696,CUST1285,success
REAL000290,Downtown Branch,balance_check,0.0,2026-02-26 18:49:44.122826,CUST1040,success
REAL000291,Downtown Branch,balance_check,0.0,2026-04-11 16:12:44.122918,CUST4198,success
REAL000292,Airport Terminal,withdrawal,140.0,2026-02-16 18:25:44.123008,CUST2492,success
REAL000293,Hospital Complex,withdrawal,40.0,2026-03-31 03:37:44.123120,CUST5577,success
REAL000294,University Campus,balance_check,0.0,2026-04-12 11:29:44.123211,CUST7317,success
REAL000295,University Campus,withdrawal,80.0,2026-04-01 03:48:44.123289,CUST4740,success
REAL000296,Airport Terminal,withdrawal,160.0,2026-03-22 18:10:44.123399,CUST3007,success
