transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,date,hour,day_of_week,month
TXN202604190032,Hospital Complex,withdrawal,19.74,2026-04-06 00:12:14.865969,CUST5423,success,2026-04-06,0,Monday,April
TXN202604190033,Tourist Center,balance_check,0.0,2026-04-15 08:35:14.865988,CUST5280,success,2026-04-15,8,Wednesday,April
TXN202604190034,Tourist Center,deposit,1636.84,2026-04-08 15:38:14.866002,CUST8614,success,2026-04-08,15,Wednesday,April
TXN202604190035,Business District,withdrawal,385.54,2026-03-25 02:44:14.866018,CUST4493,success,2026-03-25,2,Wednesday,March
TXN202604190036,University Campus Main,withdrawal,76.08,2026-04-04 11:59:14.866035,CUST3548,success,2026-04-04,11,Saturday,April
TXN202604190037,Airport Terminal,deposit,759.59,2026-03-23 03:07:14.866051,CUST1287,success,2026-03-23,3,Monday,March
TXN202604190038,Residential Area West,withdrawal,392.78,2026-04-11 15:44:14.866066,CUST7322,success,2026-04-11,15,Saturday,April
TXN202604190039,Shopping Mall North,withdrawal,156.0,2026-04-06 08:56:14.866082,CUST6378,success,2026-04-06,8,Monday,April
TXN202604190040,University Campus Main,withdrawal,21.0,2026-04-03 02:18:14.866102,CUST1281,success,2026-04-03,2,Friday,April
TXN202604190041,Downtown Branch,balance_check,0.0,2026-03-26 17:37:14.866119,CUST7321,success,2026-03-26,17,Thursday,March
TXN202604190042,Downtown Branch,withdrawal,191.23,2026-04-16 17:48:14.866133,CUST4213,success,2026-04-16,17,Thursday,April
TXN202604190043,Hospital Complex,balance_check,0.0,2026-04-05 22:59:14.866150,CUST4067,success,2026-04-05,22,Sunday,April
TXN202604190044,University Campus Main,withdrawal,62.21,2026-03-24 23:55:14.866164,CUST3595,success,2026-03-24,23,Tuesday,March
TXN202604190045,Shopping Mall North,withdrawal,181.92,2026-04-14 23:22:14.866180,CUST6749,success,2026-04-14,23,Tuesday,April
TXN202604190046,Sports Stadium,balance_check,0.0,2026-04-09 17:18:14.866196,CUST3136,success,2026-04-09,17,Thursday,April
TXN202604190047,University Campus Main,withdrawal,81.83,2026-04-15 15:20:14.866209,CUST8607,success,2026-04-15,15,Wednesday,April
TXN202604190048,Residential Area East,withdrawal,293.8,2026-03-30 10:42:14.866226,CUST8541,success,2026-03-30,10,Monday,March
TXN202604190049,Business District,balance_check,0.0,2026-03-22 19:00:14.866242,CUST4356,success,2026-03-22,19,Sunday,March
TXN202604190050,Downtown Branch,balance_check,0.0,2026-04-01 18:10:14.866255,CUST6008,success,2026-04-01,18,Wednesday,April
TXN202604190051,Residential Area West,deposit,817.54,2026-03-22 15:22:14.866268,CUST4815,failed,2026-03-22,15,Sunday,March
TXN202604190052,Residential Area East,withdrawal,101.79,2026-04-13 18:15:14.866282,CUST3195,success,2026-04-13,18,Monday,April
TXN202604190053,University Campus Main,withdrawal,192.94,2026-04-16 19:58:14.866301,CUST4089,success,2026-04-16,19,Thursday,April
TXN202604190054,Downtown Branch,balance_check,0.0,2026-03-26 16:10:14.866320,CUST3640,success,2026-03-26,16,Thursday,March
TXN202604190055,Residential Area East,withdrawal,217.69,2026-03-22 18:13:14.866333,CUST6551,success,2026-03-22,18,Sunday,March
TXN202604190056,University Campus Main,withdrawal,207.63,2026-03-21 03:53:14.866349,CUST6503,success,2026-03-21,3,Saturday,March
TXN202604190057,Airport Terminal,withdrawal,131.83,2026-04-16 12:53:14.866365,CUST9945,success,2026-04-16,12,Thursday,April
TXN202604190058,Residential Area East,withdrawal,193.58,2026-04-10 16:17:14.866381,CUST5136,success,2026-04-10,16,Friday,April
TXN202604190059,Sports Stadium,withdrawal,21.47,2026-04-18 17:32:14.866398,CUST4349,success,2026-04-18,17,Saturday,April
TXN202604190060,Shopping Mall South,withdrawal,458.96,2026-03-22 22:33:14.866415,CUST1498,success,2026-03-22,22,Sunday,March
TXN202604190061,Shopping Mall South,transfer,613.06,2026-03-28 18:10:14.866432,CUST8911,success,2026-03-28,18,Saturday,March
TXN202604190062,Airport Terminal,withdrawal,189.4,2026-04-05 16:11:14.866448,CUST5280,success,2026-04-05,16,Sunday,April
TXN202604190063,Downtown Branch,balance_check,0.0,2026-04-01 23:30:14.866464,CUST5790,success,2026-04-01,23,Wednesday,April
TXN202604190064,Downtown Branch,transfer,449.15,2026-04-02 20:09:14.866477,CUST6873,success,2026-04-02,20,Thursday,April
TXN202604190065,Residential Area West,transfer,156.52,2026-04-04 12:10:14.866492,CUST9974,success,2026-04-04,12,Saturday,April
TXN202604190066,Train Station Central,withdrawal,279.54,2026-04-17 22:41:14.866508,CUST7620,success,2026-04-17,22,Friday,April
TXN202604190067,Shopping Mall North,withdrawal,36.18,2026-04-12 23:13:14.866525,CUST4358,success,2026-04-12,23,Sunday,April
TXN202604190068,Shopping Mall North,withdrawal,98.61,2026-04-02 17:53:14.866545,CUST2759,success,2026-04-02,17,Thursday,April
TXN202604190069,Tourist Center,withdrawal,278.97,2026-04-07 03:58:14.866561,CUST1676,success,2026-04-07,3,Tuesday,April
TXN202604190070,Tourist Center,withdrawal,41.25,2026-03-27 23:10:14.866578,CUST4813,success,2026-03-27,23,Friday,March
TXN202604190071,Hospital Complex,balance_check,0.0,2026-03-30 20:16:14.866595,CUST8528,success,2026-03-30,20,Monday,March
TXN202604190072,University Campus Science,withdrawal,286.24,2026-04-17 09:54:14.866611,CUST9745,success,2026-04-17,9,Friday,April
TXN202604190073,Shopping Mall North,balance_check,0.0,2026-03-20 16:37:14.866627,CUST9174,success,2026-03-20,16,Friday,March
TXN202604190074,Downtown Branch,withdrawal,529.18,2026-03-21 23:09:14.866641,CUST2236,success,2026-03-21,23,Saturday,March
TXN202604190075,Shopping Mall North,balance_check,0.0,2026-04-07 22:46:14.866657,CUST7822,success,2026-04-07,22,Tuesday,April
TXN202604190076,Airport Terminal,withdrawal,195.97,2026-04-07 23:54:14.866671,CUST8861,success,2026-04-07,23,Tuesday,April
TXN202604190077,Downtown Branch,deposit,1846.96,2026-03-22 22:45:14.866687,CUST1528,success,2026-03-22,22,Sunday,March
TXN202604190078,Residential Area West,transfer,830.37,2026-03-27 03:10:14.866704,CUST8007,success,2026-03-27,3,Friday,March
TXN202604190079,Shopping Mall North,deposit,851.82,2026-04-07 01:23:14.866720,CUST8243,success,2026-04-07,1,Tuesday,April
TXN202604190080,Sports Stadium,transfer,682.12,2026-04-19 03:24:14.866734,CUST6395,success,2026-04-19,3,Sunday,April
TXN202604190081,Shopping Mall North,withdrawal,434.41,2026-04-17 18:39:14.866751,CUST1329,success,2026-04-17,18,Friday,April
TXN202604190082,Industrial Zone,balance_check,0.0,2026-04-04 23:05:14.866770,CUST3129,success,2026-04-04,23,Saturday,April
TXN202604190083,Downtown Branch,transfer,80.24,2026-04-15 09:05:14.866784,CUST2152,success,2026-04-15,9,Wednesday,April
TXN202604190084,Residential Area West,balance_check,0.0,2026-03-29 01:15:14.866799,CUST2555,success,2026-03-29,1,Sunday,March
TXN202604190085,Tourist Center,deposit,560.66,2026-04-06 02:37:14.866813,CUST6416,success,2026-04-06,2,Monday,April
TXN202604190086,Downtown Branch,deposit,1463.11,2026-03-28 18:23:14.866827,CUST5397,success,2026-03-28,18,Saturday,March
TXN202604190087,Airport Terminal,deposit,204.76,2026-04-07 23:26:14.866842,CUST4950,success,2026-04-07,23,Tuesday,April
TXN202604190088,Train Station Central,withdrawal,411.43,2026-04-11 04:22:14.866857,CUST2708,success,2026-04-11,4,Saturday,April
TXN202604190089,University Campus Science,withdrawal,198.46,2026-03-25 07:06:14.866873,CUST6046,success,2026-03-25,7,Wednesday,March
TXN202604190090,Airport Terminal,withdrawal,94.8,2026-04-15 02:07:14.866889,CUST5617,success,2026-04-15,2,Wednesday,April
TXN202604190091,Tourist Center,deposit,1851.72,2026-03-21 17:34:14.866906,CUST1245,success,2026-03-21,17,Saturday,March
TXN202604190092,Business District,deposit,809.23,2026-03-31 23:22:14.866921,CUST7845,success,2026-03-31,23,Tuesday,March
TXN202604190093,Shopping Mall South,withdrawal,182.81,2026-04-11 17:28:14.866938,CUST8850,success,2026-04-11,17,Saturday,April
TXN202604190094,Downtown Branch,balance_check,0.0,2026-04-16 11:30:14.866955,CUST7482,success,2026-04-16,11,Thursday,April
TXN202604190095,Residential Area East,withdrawal,154.16,2026-04-11 14:06:14.866971,CUST8019,success,2026-04-11,14,Saturday,April
TXN202604190096,University Campus Main,transfer,642.43,2026-04-15 16:00:14.866988,CUST3855,success,2026-04-15,16,Wednesday,April
TXN202604190097,Downtown Branch,withdrawal,183.93,2026-03-28 03:40:14.867005,CUST5710,success,2026-03-28,3,Saturday,March
TXN202604190098,Shopping Mall North,withdrawal,59.96,2026-04-11 18:55:14.867022,CUST9726,success,2026-04-11,18,Saturday,April
TXN202604190099,Hospital Complex,balance_check,0.0,2026-03-22 13:08:14.867038,CUST7419,success,2026-03-22,13,Sunday,March
TXN202604190100,Downtown Branch,withdrawal,103.54,2026-03-19 18:38:14.867052,CUST2727,success,2026-03-19,18,Thursday,March
TXN202604190101,Shopping Mall North,withdrawal,43.0,2026-04-18 04:36:14.867068,CUST2326,success,2026-04-18,4,Saturday,April
TXN202604190102,Shopping Mall South,withdrawal,199.75,2026-04-06 07:31:14.867084,CUST2409,success,2026-04-06,7,Monday,April
TXN202604190103,University Campus Main,transfer,800.6,2026-04-07 16:15:14.867100,CUST2657,success,2026-04-07,16,Tuesday,April
TXN202604190104,Downtown Branch,withdrawal,64.82,2026-04-12 22:32:14.867114,CUST8042,success,2026-04-12,22,Sunday,April
TXN202604190105,Residential Area West,withdrawal,321.32,2026-04-10 23:44:14.867130,CUST7604,success,2026-04-10,23,Friday,April
TXN202604190106,Residential Area West,withdrawal,315.35,2026-04-17 02:55:14.867146,CUST5728,success,2026-04-17,2,Friday,April
TXN202604190107,Residential Area West,balance_check,0.0,2026-03-26 03:21:14.867162,CUST9327,success,2026-03-26,3,Thursday,March
TXN202604190108,Residential Area West,balance_check,0.0,2026-04-03 04:54:14.867176,CUST8977,success,2026-04-03,4,Friday,April
TXN202604190109,Residential Area West,deposit,476.06,2026-04-08 03:14:14.867192,CUST9518,success,2026-04-08,3,Wednesday,April
TXN202604190110,University Campus Main,withdrawal,300.0,2026-03-24 04:04:14.867207,CUST2484,failed,2026-03-24,4,Tuesday,March
TXN202604190111,University Campus Science,withdrawal,91.64,2026-04-10 02:46:14.867225,CUST2091,success,2026-04-10,2,Friday,April
TXN202604190112,Residential Area East,withdrawal,204.73,2026-04-01 02:28:14.867242,CUST6084,success,2026-04-01,2,Wednesday,April
TXN202604190113,Shopping Mall South,deposit,1512.36,2026-03-30 15:08:14.867258,CUST5714,success,2026-03-30,15,Monday,March
TXN202604190114,Shopping Mall North,withdrawal,312.08,2026-03-29 15:56:14.867272,CUST7837,success,2026-03-29,15,Sunday,March
TXN202604190115,Downtown Branch,withdrawal,299.69,2026-03-29 16:45:14.867289,CUST7686,success,2026-03-29,16,Sunday,March
TXN202604190116,Residential Area East,withdrawal,202.28,2026-04-10 23:08:14.867305,CUST3622,success,2026-04-10,23,Friday,April
TXN202604190117,Downtown Branch,withdrawal,203.72,2026-04-16 02:00:14.867322,CUST2558,success,2026-04-16,2,Thursday,April
TXN202604190118,Downtown Branch,withdrawal,429.18,2026-04-08 15:35:14.867342,CUST3828,failed,2026-04-08,15,Wednesday,April
TXN202604190119,Train Station Central,deposit,1443.7,2026-04-03 16:01:14.867359,CUST1427,success,2026-04-03,16,Friday,April
TXN202604190120,Downtown Branch,transfer,982.62,2026-04-04 03:28:14.867374,CUST6935,success,2026-04-04,3,Saturday,April
TXN202604190121,Shopping Mall North,withdrawal,40.34,2026-04-06 11:51:14.867389,CUST5222,success,2026-04-06,11,Monday,April
TXN202604190122,Hospital Complex,withdrawal,208.94,2026-03-24 02:32:14.867405,CUST9838,success,2026-03-24,2,Tuesday,March
TXN202604190123,Hospital Complex,withdrawal,183.09,2026-04-15 17:58:14.867421,CUST8062,success,2026-04-15,17,Wednesday,April
TXN202604190124,Business District,balance_check,0.0,2026-04-04 18:51:14.867437,CUST3596,success,2026-04-04,18,Saturday,April
TXN202604190125,Airport Terminal,withdrawal,393.17,2026-04-12 13:14:14.867450,CUST1658,success,2026-04-12,13,Sunday,April
TXN202604190126,Tourist Center,deposit,126.34,2026-03-21 23:56:14.867469,CUST7011,success,2026-03-21,23,Saturday,March
TXN202604190127,Airport Terminal,balance_check,0.0,2026-04-17 22:05:14.867483,CUST3112,success,2026-04-17,22,Friday,April
TXN202604190128,Industrial Zone,withdrawal,191.86,2026-04-03 03:44:14.867496,CUST3292,success,2026-04-03,3,Friday,April
TXN202604190129,Shopping Mall North,withdrawal,326.68,2026-03-23 23:16:14.867512,CUST3545,success,2026-03-23,23,Monday,March
TXN202604190130,Downtown Branch,balance_check,0.0,2026-03-29 16:30:14.867529,CUST1971,success,2026-03-29,16,Sunday,March
TXN202604190131,University Campus Main,balance_check,0.0,2026-03-28 17:03:14.867544,CUST1209,success,2026-03-28,17,Saturday,March
TXN202604190132,Downtown Branch,withdrawal,19.17,2026-04-17 16:55:14.867558,CUST9899,success,2026-04-17,16,Friday,April
TXN202604190133,Train Station Central,withdrawal,175.84,2026-03-19 15:22:14.867574,CUST4194,success,2026-03-19,15,Thursday,March
TXN202604190134,Downtown Branch,withdrawal,209.96,2026-04-08 01:18:14.867590,CUST1704,success,2026-04-08,1,Wednesday,April
TXN202604190135,Residential Area West,withdrawal,325.69,2026-04-04 12:28:14.867607,CUST1469,success,2026-04-04,12,Saturday,April
TXN202604190136,Shopping Mall North,withdrawal,21.24,2026-04-14 18:25:14.867623,CUST2898,success,2026-04-14,18,Tuesday,April
TXN202604190137,Train Station Central,deposit,949.41,2026-04-13 12:37:14.867639,CUST6047,success,2026-04-13,12,Monday,April
TXN202604190138,University Campus Science,withdrawal,118.88,2026-03-30 17:30:14.867653,CUST9374,success,2026-03-30,17,Monday,March
TXN202604190139,Industrial Zone,balance_check,0.0,2026-04-06 23:00:14.867669,CUST9070,success,2026-04-06,23,Monday,April
TXN202604190140,Train Station Central,withdrawal,375.95,2026-03-24 17:57:14.867682,CUST6711,success,2026-03-24,17,Tuesday,March
TXN202604190141,Residential Area East,withdrawal,460.86,2026-03-25 22:23:14.867698,CUST1509,success,2026-03-25,22,Wednesday,March
TXN202604190142,Hospital Complex,balance_check,0.0,2026-04-10 22:29:14.867715,CUST4232,success,2026-04-10,22,Friday,April
TXN202604190143,University Campus Main,withdrawal,99.14,2026-03-20 18:00:14.867731,CUST7957,success,2026-03-20,18,Friday,March
TXN202604190144,Hospital Complex,withdrawal,80.62,2026-04-12 23:07:14.867748,CUST5421,success,2026-04-12,23,Sunday,April
TXN202604190145,Shopping Mall North,withdrawal,39.28,2026-03-27 11:17:14.867764,CUST1101,success,2026-03-27,11,Friday,March
TXN202604190146,Downtown Branch,withdrawal,21.05,2026-04-07 16:28:14.867781,CUST5539,success,2026-04-07,16,Tuesday,April
TXN202604190147,Shopping Mall North,withdrawal,183.41,2026-03-31 05:32:14.867797,CUST6009,success,2026-03-31,5,Tuesday,March
TXN202604190148,Downtown Branch,withdrawal,38.7,2026-03-23 23:54:14.867813,CUST3433,success,2026-03-23,23,Monday,March
TXN202604190149,Downtown Branch,balance_check,0.0,2026-03-23 17:55:14.867829,CUST4604,success,2026-03-23,17,Monday,March
TXN202604190150,Shopping Mall North,withdrawal,41.14,2026-04-02 03:54:14.867846,CUST3460,success,2026-04-02,3,Thursday,April
TXN202604190151,Business District,balance_check,0.0,2026-03-31 00:10:14.867862,CUST7965,success,2026-03-31,0,Tuesday,March
TXN202604190152,Shopping Mall North,withdrawal,90.72,2026-04-09 15:34:14.867876,CUST7520,success,2026-04-09,15,Thursday,April
TXN202604190153,Tourist Center,balance_check,0.0,2026-03-20 16:07:14.867901,CUST1877,success,2026-03-20,16,Friday,March
TXN202604190154,Sports Stadium,balance_check,0.0,2026-03-31 12:27:14.867914,CUST4444,success,2026-03-31,12,Tuesday,March
TXN202604190155,Hospital Complex,withdrawal,186.04,2026-04-03 04:03:14.867927,CUST8497,success,2026-04-03,4,Friday,April
TXN202604190156,Sports Stadium,withdrawal,279.79,2026-04-17 15:15:14.867944,CUST3110,success,2026-04-17,15,Friday,April
TXN202604190157,Shopping Mall South,withdrawal,163.94,2026-04-16 18:21:14.867961,CUST1203,success,2026-04-16,18,Thursday,April
TXN202604190158,Sports Stadium,withdrawal,399.05,2026-04-09 00:02:14.867977,CUST6036,success,2026-04-09,0,Thursday,April
TXN202604190159,Business District,withdrawal,183.89,2026-03-31 15:46:14.867996,CUST6907,success,2026-03-31,15,Tuesday,March
TXN202604190160,Train Station Central,withdrawal,43.42,2026-03-20 02:06:14.868013,CUST6477,success,2026-03-20,2,Friday,March
TXN202604190161,University Campus Science,balance_check,0.0,2026-04-14 16:59:14.868029,CUST1031,success,2026-04-14,16,Tuesday,April
TXN202604190162,Airport Terminal,withdrawal,206.2,2026-03-31 11:38:14.868042,CUST2222,success,2026-03-31,11,Tuesday,March
TXN202604190163,Business District,withdrawal,91.31,2026-03-27 02:17:14.868058,CUST2868,success,2026-03-27,2,Friday,March
TXN202604190164,Hospital Complex,withdrawal,110.42,2026-04-10 06:09:14.868074,CUST5992,success,2026-04-10,6,Friday,April
TXN202604190165,Industrial Zone,deposit,1736.55,2026-04-10 03:49:14.868091,CUST5634,success,2026-04-10,3,Friday,April
TXN202604190166,Train Station Central,balance_check,0.0,2026-04-02 03:06:14.868105,CUST1403,success,2026-04-02,3,Thursday,April
TXN202604190167,Residential Area East,deposit,611.21,2026-03-25 18:30:14.868118,CUST8909,success,2026-03-25,18,Wednesday,March
TXN202604190168,Business District,deposit,1897.89,2026-03-26 16:11:14.868133,CUST5334,success,2026-03-26,16,Thursday,March
TXN202604190169,Industrial Zone,withdrawal,286.12,2026-04-18 22:13:14.868147,CUST7534,success,2026-04-18,22,Saturday,April
TXN202604190170,Residential Area East,withdrawal,391.92,2026-04-19 06:32:14.868164,CUST5006,success,2026-04-19,6,Sunday,April
TXN202604190171,Airport Terminal,balance_check,0.0,2026-04-06 19:55:14.868182,CUST1992,success,2026-04-06,19,Monday,April
TXN202604190172,Business District,withdrawal,309.72,2026-04-08 02:12:14.868196,CUST1777,success,2026-04-08,2,Wednesday,April
TXN202604190173,Residential Area East,withdrawal,20.87,2026-04-06 18:29:14.868213,CUST6513,success,2026-04-06,18,Monday,April
TXN202604190174,Shopping Mall North,withdrawal,374.83,2026-04-19 03:22:14.868232,CUST3068,success,2026-04-19,3,Sunday,April
TXN202604190175,Train Station Central,withdrawal,187.21,2026-04-10 03:45:14.868249,CUST4618,success,2026-04-10,3,Friday,April
TXN202604190176,Train Station Central,withdrawal,105.41,2026-04-09 07:02:14.868265,CUST3781,success,2026-04-09,7,Thursday,April
TXN202604190177,Business District,balance_check,0.0,2026-03-20 13:06:14.868282,CUST6712,success,2026-03-20,13,Friday,March
TXN202604190178,Residential Area West,withdrawal,111.21,2026-03-23 20:02:14.868295,CUST1242,success,2026-03-23,20,Monday,March
TXN202604190179,University Campus Science,withdrawal,82.03,2026-03-21 23:45:14.868311,CUST8119,success,2026-03-21,23,Saturday,March
TXN202604190180,Shopping Mall North,withdrawal,307.27,2026-04-01 03:25:14.868328,CUST3190,success,2026-04-01,3,Wednesday,April
TXN202604190181,Business District,balance_check,0.0,2026-04-10 03:27:14.868344,CUST3367,success,2026-04-10,3,Friday,April
TXN202604190182,Business District,withdrawal,98.14,2026-03-29 06:28:14.868356,CUST8213,success,2026-03-29,6,Sunday,March
TXN202604190183,Business District,withdrawal,37.49,2026-03-20 02:53:14.868372,CUST3148,success,2026-03-20,2,Friday,March
TXN202604190184,Shopping Mall South,withdrawal,318.78,2026-03-24 22:27:14.868391,CUST5994,success,2026-03-24,22,Tuesday,March
TXN202604190185,Shopping Mall North,withdrawal,167.74,2026-03-22 05:53:14.868407,CUST8529,success,2026-03-22,5,Sunday,March
TXN202604190186,Business District,withdrawal,283.73,2026-04-18 18:36:14.868423,CUST9927,success,2026-04-18,18,Saturday,April
TXN202604190187,Sports Stadium,withdrawal,18.13,2026-03-31 15:13:14.868439,CUST4456,success,2026-03-31,15,Tuesday,March
TXN202604190188,Airport Terminal,balance_check,0.0,2026-04-11 15:10:14.868455,CUST3561,success,2026-04-11,15,Saturday,April
TXN202604190189,Residential Area West,withdrawal,404.89,2026-03-25 22:22:14.868471,CUST3309,success,2026-03-25,22,Wednesday,March
TXN202604190190,Residential Area East,withdrawal,415.69,2026-04-07 20:12:14.868487,CUST7285,success,2026-04-07,20,Tuesday,April
TXN202604190191,Shopping Mall North,withdrawal,19.66,2026-04-16 18:34:14.868503,CUST3330,success,2026-04-16,18,Thursday,April
TXN202604190192,Downtown Branch,withdrawal,300.22,2026-04-12 00:29:14.868519,CUST8963,success,2026-04-12,0,Sunday,April
TXN202604190193,Train Station Central,withdrawal,20.89,2026-04-15 17:19:14.868538,CUST4387,success,2026-04-15,17,Wednesday,April
TXN202604190194,Business District,withdrawal,185.45,2026-03-31 18:11:14.868554,CUST6276,success,2026-03-31,18,Tuesday,March
TXN202604190195,Downtown Branch,deposit,441.89,2026-04-06 02:12:14.868570,CUST8573,success,2026-04-06,2,Monday,April
TXN202604190196,Business District,withdrawal,96.41,2026-04-01 09:13:14.868584,CUST9682,success,2026-04-01,9,Wednesday,April
TXN202604190197,Airport Terminal,withdrawal,207.27,2026-03-31 22:46:14.868600,CUST1094,success,2026-03-31,22,Tuesday,March
TXN202604190198,Residential Area West,withdrawal,279.4,2026-04-16 00:00:14.868616,CUST3792,success,2026-04-16,0,Thursday,April
TXN202604190199,University Campus Science,deposit,1989.77,2026-04-16 18:59:14.868632,CUST3983,success,2026-04-16,18,Thursday,April
TXN202604190200,Residential Area West,withdrawal,139.43,2026-04-02 18:59:14.868646,CUST3995,success,2026-04-02,18,Thursday,April
TXN202604190201,Sports Stadium,withdrawal,109.41,2026-03-21 16:39:14.868662,CUST6065,success,2026-03-21,16,Saturday,March
TXN202604190202,Shopping Mall South,withdrawal,204.46,2026-04-06 02:10:14.868679,CUST5728,success,2026-04-06,2,Monday,April
TXN202604190203,Shopping Mall North,withdrawal,93.7,2026-04-18 23:51:14.868695,CUST5665,success,2026-04-18,23,Saturday,April
TXN202604190204,Shopping Mall South,withdrawal,109.46,2026-03-22 23:36:14.868711,CUST6720,success,2026-03-22,23,Sunday,March
TXN202604190205,Hospital Complex,balance_check,0.0,2026-04-04 18:08:14.868726,CUST8596,success,2026-04-04,18,Saturday,April
TXN202604190206,Shopping Mall South,withdrawal,193.46,2026-04-12 16:35:14.868741,CUST8977,success,2026-04-12,16,Sunday,April
TXN202604190207,Shopping Mall South,withdrawal,481.34,2026-04-07 22:20:14.868759,CUST1291,success,2026-04-07,22,Tuesday,April
TXN202604190208,Residential Area East,withdrawal,202.08,2026-03-27 16:08:14.868775,CUST5810,success,2026-03-27,16,Friday,March
TXN202604190209,Tourist Center,balance_check,0.0,2026-03-26 23:40:14.868794,CUST3095,success,2026-03-26,23,Thursday,March
TXN202604190210,Residential Area West,withdrawal,41.09,2026-04-13 13:36:14.868807,CUST6128,success,2026-04-13,13,Monday,April
TXN202604190211,Business District,deposit,1379.11,2026-03-20 18:05:14.868823,CUST1327,success,2026-03-20,18,Friday,March
TXN202604190212,Downtown Branch,deposit,1734.23,2026-03-31 23:42:14.868839,CUST7500,success,2026-03-31,23,Tuesday,March
TXN202604190213,Train Station Central,withdrawal,169.33,2026-04-09 19:11:14.868853,CUST4500,success,2026-04-09,19,Thursday,April
TXN202604190214,Residential Area East,withdrawal,43.71,2026-04-09 06:00:14.868869,CUST2123,success,2026-04-09,6,Thursday,April
